
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
100,6.34921,0.45025,131.57895,135.13514,150.60242,1308.90059,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
200,7.51174,210.52633,67.19866,236.33679,491.24964,4375.17111,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
300,7.82042,285.71429,219.33388,281.69015,652.41031,6223.34925,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
400,8.22516,302.60049,242.60805,322.17469,965.09090,9368.36757,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
500,8.36792,351.12360,210.97046,279.70463,1086.10653,10721.33116,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
600,11.67473,366.41222,222.51984,289.25344,1082.57113,10718.27345,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
700,14.38035,310.26684,215.30349,296.22592,1159.41047,11516.25016,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
800,14.60979,367.94827,196.27011,310.46298,1288.16380,12817.14354,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
900,14.17585,394.26716,275.51540,372.36622,1403.06976,13976.89637,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
1000,14.05077,401.52580,260.10170,303.76209,1436.97775,14328.59773,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
1100,11.37505,318.38296,212.17918,341.66313,1366.36842,13642.67637,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
1200,11.72380,386.18841,245.15159,394.32250,829.12694,8281.33558,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
1300,10.69248,416.88805,245.42413,377.87773,1321.22165,13196.34459,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
1400,10.21571,416.10432,294.61184,386.31020,1577.22902,15691.11804,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
1500,9.84309,429.33469,273.39668,377.64773,784.53889,7840.83227,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
1600,9.67987,438.23893,259.92075,391.74619,787.62797,7873.25179,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
1700,9.51109,433.99144,265.14835,371.25618,721.39194,7212.33085,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
1800,9.45772,433.09073,294.63398,381.31602,1142.04247,11415.95372,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
1900,9.36896,442.25935,266.10232,380.38039,732.69388,7325.37379,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
2000,9.33575,439.99560,303.67561,413.81415,866.48214,8662.94485,
