
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
100,0.00032,0.00444,0.00002,0.00001,0.00001,0.00000,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
200,0.00213,0.00008,0.00024,0.00007,0.00003,0.00000,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
300,0.00690,0.00019,0.00025,0.00019,0.00008,0.00001,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
400,0.01556,0.00042,0.00053,0.00040,0.00013,0.00001,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
500,0.02988,0.00071,0.00119,0.00089,0.00023,0.00002,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
600,0.03700,0.00118,0.00194,0.00149,0.00040,0.00004,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
700,0.04770,0.00221,0.00319,0.00232,0.00059,0.00006,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
800,0.07009,0.00278,0.00522,0.00330,0.00079,0.00008,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
900,0.10285,0.00370,0.00529,0.00392,0.00104,0.00010,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
1000,0.14234,0.00498,0.00769,0.00658,0.00139,0.00014,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
1100,0.23402,0.00836,0.01255,0.00779,0.00195,0.00020,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
1200,0.29479,0.00895,0.01410,0.00876,0.00417,0.00042,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
1300,0.41094,0.01054,0.01790,0.01163,0.00333,0.00033,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
1400,0.53721,0.01319,0.01863,0.01421,0.00348,0.00035,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
1500,0.68576,0.01572,0.02469,0.01787,0.00860,0.00086,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
1600,0.84629,0.01869,0.03152,0.02091,0.01040,0.00104,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
1700,1.03311,0.02264,0.03706,0.02647,0.01362,0.00136,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
1800,1.23328,0.02693,0.03959,0.03059,0.01021,0.00102,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
1900,1.46420,0.03102,0.05155,0.03606,0.01872,0.00187,
size,OpenMP,OpenBlas,cuda_global,cuda_shared,cublas,cuda_yours
2000,1.71384,0.03636,0.05269,0.03866,0.01847,0.00185,
